Time, Mass, Net Force, Y-Acceleration, Y-velocity, Altitude
109.250000, 272904.320988, 4049385.890336, 14.838116, 782.235273, 31769.093730
109.375000, 272904.320988, 4050172.532377, 14.840998, 784.090398, 31867.105030
109.500000, 272904.320988, 4050958.811346, 14.843879, 785.945883, 31965.348265
109.625000, 272904.320988, 4051744.674516, 14.846759, 787.801728, 32063.823481
109.750000, 272904.320988, 4052530.069695, 14.849637, 789.657933, 32162.530723
109.875000, 272904.320988, 4053314.945228, 14.852513, 791.514497, 32261.470035
110.000000, 272904.320988, 4054099.250003, 14.855387, 793.371420, 32360.641462
110.125000, 270441.975309, 4078760.765147, 15.081833, 795.256649, 32460.048543
110.250000, 270441.975309, 4079535.770754, 15.084699, 797.142237, 32559.691323
110.375000, 270441.975309, 4080310.229614, 15.087563, 799.028182, 32659.569846
110.500000, 270441.975309, 4081084.090835, 15.090424, 800.914485, 32759.684156
110.625000, 270441.975309, 4081857.304075, 15.093283, 802.801145, 32860.034299
110.750000, 270441.975309, 4082629.819541, 15.096140, 804.688163, 32960.620320
110.875000, 270441.975309, 4083401.587999, 15.098993, 806.575537, 33061.442262
111.000000, 270441.975309, 4084172.560765, 15.101844, 808.463267, 33162.500170
111.125000, 267979.629630, 4108814.550746, 15.332563, 810.379838, 33263.797650
111.250000, 267979.629630, 4109576.152665, 15.335405, 812.296763, 33365.334746
111.375000, 267979.629630, 4110336.984896, 15.338244, 814.214044, 33467.111501
111.500000, 267979.629630, 4111096.999026, 15.341080, 816.131679, 33569.127961
111.625000, 267979.629630, 4111856.147208, 15.343913, 818.049668, 33671.384169
111.750000, 267979.629630, 4112614.382164, 15.346743, 819.968011, 33773.880171
111.875000, 267979.629630, 4113371.657180, 15.349568, 821.886707, 33876.616009
112.000000, 267979.629630, 4114127.926114, 15.352391, 823.805756, 33979.591729
112.125000, 265517.283951, 4138748.922626, 15.587493, 825.754193, 34082.811003
112.250000, 265517.283951, 4139495.768579, 15.590306, 827.702981, 34186.273875
112.375000, 265517.283951, 4140241.636617, 15.593115, 829.652120, 34289.980390
112.500000, 265517.283951, 4140986.480911, 15.595921, 831.601610, 34393.930592
112.625000, 265517.283951, 4141730.256206, 15.598722, 833.551451, 34498.124523
112.750000, 265517.283951, 4142472.917829, 15.601519, 835.501640, 34602.562228
112.875000, 265517.283951, 4143214.421682, 15.604312, 837.452179, 34707.243750
113.000000, 265517.283951, 4143954.724250, 15.607100, 839.403067, 34812.169134
113.125000, 263054.938272, 4168553.367162, 15.846703, 841.383905, 34917.342122
113.250000, 263054.938272, 4169284.214894, 15.849481, 843.365090, 35022.762758
113.375000, 263054.938272, 4170013.891827, 15.852255, 845.346622, 35128.431086
113.500000, 263054.938272, 4170742.354794, 15.855024, 847.328500, 35234.347148
113.625000, 263054.938272, 4171469.561215, 15.857788, 849.310723, 35340.510989
113.750000, 263054.938272, 4172195.469098, 15.860548, 851.293292, 35446.922650
113.875000, 263054.938272, 4172920.037040, 15.863302, 853.276204, 35553.582176
114.000000, 263054.938272, 4173643.224222, 15.866052, 855.259461, 35660.489608
114.125000, 260592.592593, 4198218.265660, 16.110275, 857.273245, 35767.648764
114.250000, 260592.592593, 4198931.986998, 16.113014, 859.287372, 35875.059685
114.375000, 260592.592593, 4199644.360501, 16.115747, 861.301840, 35982.722415
114.500000, 260592.592593, 4200355.345733, 16.118476, 863.316650, 36090.636997
114.625000, 260592.592593, 4201064.902852, 16.121198, 865.331800, 36198.803472
114.750000, 260592.592593, 4201772.992610, 16.123916, 867.347289, 36307.221883
114.875000, 260592.592593, 4202479.576353, 16.126627, 869.363117, 36415.892272
115.000000, 260592.592593, 4203184.616020, 16.129333, 871.379284, 36524.814683
115.125000, 258130.246914, 4227734.923602, 16.378301, 873.426572, 36633.993004
115.250000, 258130.246914, 4228430.507649, 16.380996, 875.474196, 36743.427279
115.375000, 258130.246914, 4229124.583070, 16.383685, 877.522157, 36853.117549
115.500000, 258130.246914, 4229817.112210, 16.386368, 879.570453, 36963.063855
115.625000, 258130.246914, 4230508.058011, 16.389044, 881.619083, 37073.266241
115.750000, 258130.246914, 4231197.384015, 16.391715, 883.668048, 37183.724746
115.875000, 258130.246914, 4231885.054356, 16.394379, 885.717345, 37294.439415
116.000000, 258130.246914, 4232571.033768, 16.397036, 887.766974, 37405.410286
116.125000, 255667.901235, 4257095.592963, 16.650880, 889.848335, 37516.641328
116.250000, 255667.901235, 4257772.148421, 16.653526, 891.930025, 37628.132581
116.375000, 255667.901235, 4258447.050984, 16.656166, 894.012046, 37739.884087
116.500000, 255667.901235, 4259120.265810, 16.658799, 896.094396, 37851.895887
116.625000, 255667.901235, 4259791.758656, 16.661426, 898.177074, 37964.168021
116.750000, 255667.901235, 4260461.495877, 16.664045, 900.260080, 38076.700531
116.875000, 255667.901235, 4261129.444424, 16.666658, 902.343412, 38189.493457
117.000000, 255667.901235, 4261795.571844, 16.669263, 904.427070, 38302.546841
117.125000, 253205.555556, 4286293.487435, 16.928118, 906.543085, 38415.864727
117.250000, 253205.555556, 4286950.244028, 16.930712, 908.659424, 38529.447155
117.375000, 253205.555556, 4287605.220137, 16.933298, 910.776086, 38643.294165
117.500000, 253205.555556, 4288258.383748, 16.935878, 912.893071, 38757.405799
117.625000, 253205.555556, 4288909.703444, 16.938450, 915.010377, 38871.782096
117.750000, 253205.555556, 4289559.148405, 16.941015, 917.128004, 38986.423097
117.875000, 253205.555556, 4290206.688401, 16.943573, 919.245950, 39101.328841
118.000000, 253205.555556, 4290852.293800, 16.946122, 921.364216, 39216.499368
118.125000, 250743.209877, 4315322.790442, 17.210128, 923.515482, 39331.938803
118.250000, 250743.209877, 4315959.099438, 17.212666, 925.667065, 39447.647186
118.375000, 250743.209877, 4316593.517080, 17.215196, 927.818965, 39563.624557
118.500000, 250743.209877, 4317226.014179, 17.217719, 929.971179, 39679.870954
118.625000, 250743.209877, 4317856.562139, 17.220233, 932.123709, 39796.386418
118.750000, 250743.209877, 4318485.132954, 17.222740, 934.276551, 39913.170987
118.875000, 250743.209877, 4319111.699206, 17.225239, 936.429706, 40030.224700
119.000000, 250743.209877, 4319736.234066, 17.227730, 938.583172, 40147.547596
119.125000, 248280.864198, 4344178.655946, 17.497034, 940.770301, 40265.143884
119.250000, 248280.864198, 4344793.989780, 17.499512, 942.957740, 40383.013601
119.375000, 248280.864198, 4345407.338028, 17.501982, 945.145488, 40501.156788
119.500000, 248280.864198, 4346018.674306, 17.504445, 947.333544, 40619.573480
119.625000, 248280.864198, 4346627.972815, 17.506899, 949.521906, 40738.263719
119.750000, 248280.864198, 4347235.208339, 17.509345, 951.710574, 40857.227541
119.875000, 248280.864198, 4347840.356246, 17.511782, 953.899547, 40976.464984
120.000000, 248280.864198, 4348443.392477, 17.514211, 956.088823, 41095.976087
120.125000, 245818.518519, 4372857.202078, 17.788966, 958.312444, 41215.765142
120.250000, 245818.518519, 4373451.153086, 17.791382, 960.536367, 41335.832188
120.375000, 245818.518519, 4374043.040716, 17.793790, 962.760590, 41456.177262
120.500000, 245818.518519, 4374632.841353, 17.796189, 964.985114, 41576.800401
120.625000, 245818.518519, 4375220.531956, 17.798580, 967.209937, 41697.701643
120.750000, 245818.518519, 4375806.090061, 17.800962, 969.435057, 41818.881025
120.875000, 245818.518519, 4376389.493769, 17.803335, 971.660474, 41940.338585
121.000000, 245818.518519, 4376970.721753, 17.805700, 973.886186, 42062.074358
121.125000, 243356.172840, 4401355.497756, 18.086065, 976.146944, 42184.092726
121.250000, 243356.172840, 4401927.776046, 18.088416, 978.407996, 42306.393725
121.375000, 243356.172840, 4402497.929295, 18.090759, 980.669341, 42428.977393
121.500000, 243356.172840, 4403065.936607, 18.093093, 982.930978, 42551.843765
121.625000, 243356.172840, 4403631.777644, 18.095418, 985.192905, 42674.992878
121.750000, 243356.172840, 4404195.432633, 18.097735, 987.455122, 42798.424769
121.875000, 243356.172840, 4404756.882355, 18.100042, 989.717627, 42922.139472
122.000000, 243356.172840, 4405316.108147, 18.102340, 991.980420, 43046.137025
122.125000, 240893.827160, 4429671.542496, 18.388481, 994.278980, 43170.421897
122.250000, 240893.827160, 4430221.972983, 18.390766, 996.577826, 43294.994125
122.375000, 240893.827160, 4430770.232483, 18.393042, 998.876956, 43419.853745
122.500000, 240893.827160, 4431316.302745, 18.395309, 1001.176369, 43545.000791
122.625000, 240893.827160, 4431860.166068, 18.397566, 1003.476065, 43670.435299
122.750000, 240893.827160, 4432401.805295, 18.399815, 1005.776042, 43796.157304
122.875000, 240893.827160, 4432941.203813, 18.402054, 1008.076299, 43922.166842
123.000000, 240893.827160, 4433478.345547, 18.404284, 1010.376834, 44048.463946
123.125000, 238431.481481, 4457804.239720, 18.696374, 1012.713881, 44175.053181
123.250000, 238431.481481, 4458332.758383, 18.698591, 1015.051205, 44301.934582
123.375000, 238431.481481, 4458859.075304, 18.700798, 1017.388805, 44429.108182
123.500000, 238431.481481, 4459383.174800, 18.702997, 1019.726679, 44556.574017
123.625000, 238431.481481, 4459905.041719, 18.705185, 1022.064827, 44684.332121
123.750000, 238431.481481, 4460424.661438, 18.707365, 1024.403248, 44812.382527
123.875000, 238431.481481, 4460942.019858, 18.709534, 1026.741940, 44940.725269
124.000000, 238431.481481, 4461457.103402, 18.711695, 1029.080902, 45069.360382
124.125000, 235969.135802, 4485753.363935, 19.009916, 1031.457141, 45198.292524
